"function";"bitsAmount";"oldMethod";"ourMethod"
"getBestSegments";35;0,002774989604949951;0,000650036334991455
"or";36;0,00019997954368591308;0,0004050135612487793
"and";36;0,0001499950885772705;0,000354999303817749
"getBestSegments";36;0,0023249506950378416;0,0006300032138824463
"or";37;0,0002500295639038086;0,0004299759864807129
"and";37;0,00017499923706054688;0,00039998888969421386
"getBestSegments";37;0,0017500102519989013;0,0008849799633026123
"or";38;0,00022498965263366698;0,00039500594139099123
"and";38;0,005799996852874756;0,0004350125789642334
"getBestSegments";38;0,002435046434402466;0,0008049905300140381
"or";39;0,00021498203277587892;0,000390017032623291
"and";39;0,00014998912811279297;0,00040001869201660155
"getBestSegments";39;0,0024399936199188234;0,0007350146770477295
"or";40;0,0002399742603302002;0,00039502978324890137
"and";40;0,00014496445655822753;0,00039002299308776855
"getBestSegments";40;0,0015599370002746583;0,0006700396537780762
"or";41;0,0002150118350982666;0,00035996437072753905
"and";41;0,00014500617980957032;0,000394970178604126
"getBestSegments";41;0,0016250014305114746;0,0007100284099578857
"or";42;0,00022001266479492186;0,00040498971939086916
"and";42;0,00015000700950622558;0,00037499070167541505
"getBestSegments";42;0,0017299652099609375;0,0007999777793884277
"or";43;0,00023998618125915528;0,0004000067710876465
"and";43;0,00014998912811279297;0,00041000843048095704
"getBestSegments";43;0,0019550681114196776;0,0012199580669403076
"or";44;0,0002100229263305664;0,0003849923610687256
"and";44;0,0001800060272216797;0,00037997961044311523
"getBestSegments";44;0,0017000257968902588;0,000784975290298462
"or";45;0,00022001862525939942;0,00043998360633850097
"and";45;0,0001600027084350586;0,0004199802875518799
"getBestSegments";45;0,0018199622631072999;0,0008150219917297363
"or";46;0,0002350151538848877;0,00041999220848083497
"and";46;0,0001600027084350586;0,00044499635696411134
"getBestSegments";46;0,0018249928951263427;0,0007850170135498047
"or";47;0,00022000670433044433;0,00044498443603515627
"and";47;0,00014500021934509276;0,0004249930381774902
"getBestSegments";47;0,002064967155456543;0,0009000122547149659
"or";48;0,00021998882293701173;0,00042999386787414553
