"function";"bitsAmount";"oldMethod";"ourMethod"
"or";0;0,0007314902544021607;0,0010604912042617798
"and";0;0,000757494568824768;0,0010584944486618042
"getBestSegments";0;0;0
"or";1;0,00048250138759613036;0,0005615025758743287
"and";1;0,0004420000314712524;0,0006835049390792846
"getBestSegments";1;0,001530500054359436;0,0004725015163421631
"or";2;0,0006044936180114746;0,0008415007591247559
"and";2;0,0005735069513320923;0,0009344977140426636
"getBestSegments";2;0,0011534994840621947;0,0007634979486465455
"or";3;0,00048699796199798586;0,0006929987668991089
"and";3;0,00045600056648254395;0,0008650022745132446
"getBestSegments";3;0,003373998999595642;0,000802001953125
"or";4;0,0004039907455444336;0,0007104992866516114
"and";4;0,00039199888706207273;0,000807502269744873
"getBestSegments";4;0,00141099750995636;0,0023225104808807374
"or";5;0,0003969937562942505;0,0007554996013641358
"and";5;0,00039849698543548584;0,000977000594139099
"getBestSegments";5;0,002390494346618652;0,0007930064201354981
"or";6;0,0012170040607452392;0,0010055053234100343
"and";6;0,0011809951066970826;0,0040325063467025754
"getBestSegments";6;0,003062000870704651;0,0010059982538223266
"or";7;0,00011949777603149414;0,0030570036172866823
"and";7;0,0001135033369064331;0,0018575000762939453
"getBestSegments";7;0,005148999691009522;0,0020339983701705934
"or";8;0,0001189953088760376;0,0008070021867752075
"and";8;0,00018899738788604736;0,0007060027122497559
"getBestSegments";8;0,0019065052270889281;0,002445502281188965
"or";9;0,0003595012426376343;0,00022900104522705078
"and";9;0,00039750099182128906;0,0002144986391067505
"getBestSegments";9;0,0021070098876953126;0,00134149968624115
"or";10;0,0006154996156692505;0,00019150316715240478
"and";10;0,0007174986600875854;0,00020450353622436523
"getBestSegments";10;0,005992001295089722;0,00031248867511749265
"or";11;0,0018800055980682372;0,00032050132751464843
"and";11;0,0015174996852874755;0,0003295046091079712
"getBestSegments";11;0,0071535009145736695;0,0003154975175857544
"or";12;0,0001140052080154419;0,00018949508666992186
"and";12;0,0005664998292922974;0,00019600272178649903
"getBestSegments";12;0,0016654914617538453;0,0003130066394805908
"or";13;0,00011950135231018067;0,0002074974775314331
"and";13;0,00011400043964385986;0,00020600199699401855
"getBestSegments";13;0,0021534991264343262;0,0011079996824264527
"or";14;0,00021500468254089354;0,0003799957036972046
"and";14;0,00016000032424926759;0,00023850202560424805
"getBestSegments";14;0,0025629955530166626;0,0005055022239685059
"or";15;0,00018249809741973877;0,00021500051021575928
"and";15;0,0001129990816116333;0,000224001407623291
"getBestSegments";15;0,0011939984560012818;0,0008450025320053101
"or";16;0,00011900067329406738;0,0002130037546157837
"and";16;0,00011399567127227783;0,0002194976806640625
"getBestSegments";16;0,0007249957323074341;0,0003384935855865478
"or";17;0,00012050390243530274;0,00029899656772613525
"and";17;0,00012250006198883057;0,000218999981880188
"getBestSegments";17;0,0008070039749145508;0,00037450313568115234
"or";18;0,00012799859046936035;0,00024349808692932128
"and";18;0,00011549830436706543;0,00024350047111511232
"getBestSegments";18;0,002130005359649658;0,0003774982690811157
"or";19;0,00013000130653381347;0,00023649632930755615
"and";19;0,00011899888515472412;0,0002285057306289673
"getBestSegments";19;0,0009169960021972656;0,00040500640869140626
"or";20;0,00014550089836120605;0,000247001051902771
